time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz
"['44071.15406', '44073.84326']",1.664498448,2.049394615,0.943603728,3.471118458,2.845429609,4.051537571,0.124133333,0.418871111,0.255351111,-0.849754444,0.344675556,-0.446402222,1.669162273,2.017370842,0.913485377,3.384353067,2.840300186,4.049429641,0.4436,-0.3961,0.27135,-0.58045,0.78465,-0.8035,5,1.414213562,1.48943125,2.127601963,7,2.828427125,2.445130769,3.089785815,6,3,1.106008333,0.913962023,4,1,1.530883333,3.211575321,4,2.236067977,2.2298,3.437172479,7,4.472135955,2.328918182,4.454338705
"['44072.05883', '44074.74802']",1.624483632,2.053943449,0.895866623,3.288163666,2.858273959,4.046577338,0.1867,0.382557778,0.307716667,-0.867651111,0.34946,-0.194958889,1.622759878,2.029307712,0.846074022,3.189392824,2.852723312,4.064521927,0.5602,-0.373,0.3008,-0.7593,0.73845,-0.6266,5,1.414213562,1.305588889,2.021001509,6,3,2.250969231,3.014893892,6,3.31662479,1.076942857,0.872351931,5,2.236067977,1.665858824,3.099408329,4,2,1.8045,3.584926476,8,5.099019514,3.329133333,4.772675538
"['44072.96362', '44075.65279']",1.393155265,1.946520341,0.778699404,2.563923843,2.724480831,3.866393374,0.012373333,0.454551111,0.20921,-0.817016667,-0.1765,-0.29317,1.400904862,1.903306482,0.75427139,2.443880299,2.733988977,3.876860795,0.3337,-0.2407,0.3229,-0.8844,0.18915,-0.58705,5,1.732050808,1.1002625,1.549150553,7,2.828427125,2.518083333,2.719594849,6,3.31662479,0.731357143,0.82140552,5,2.236067977,0.9389,2.174343623,5,2.449489743,1.20915,3.149636971,8,6.164414003,3.413466667,4.329818192
"['44073.87341', '44076.55758']",1.302549812,2.001831014,0.75592129,2.337459387,2.529444729,3.840855523,0.049985556,0.463243333,0.235465556,-0.529877778,-0.104807778,-0.431987778,1.308882237,1.958404453,0.722336776,2.289362634,2.541430936,3.837866029,0.3312,-0.2407,0.39905,-0.73645,0.16855,-0.73615,4,1.414213562,0.611657895,1.56414201,8,3,2.857127273,2.577731487,6,3.741657387,0.831253846,0.683339166,4,2,1.259045,2.26792206,6,2.236067977,1.560973333,2.794330855,7,5.656854249,2.5041,4.492323912
"['44074.7782', '44077.46242']",1.315254625,2.008860267,0.793772402,2.328679007,2.613543687,3.862244093,0.089544444,0.361201111,0.239007778,-0.762674444,-0.014168889,-0.039288889,1.319554261,1.987191569,0.76117511,2.212570382,2.628146881,3.883680525,0.3312,-0.352,0.38595,-0.70445,0.17365,-0.6673,4,1.414213562,0.687821053,1.634875327,8,3,3.064718182,2.626636026,8,3.605551275,0.885681818,0.78732059,4,1,0.73637619,2.221752335,7,2,1.716330769,2.968728247,6,3.741657387,2.514435714,4.40970332
"['44075.68297', '44078.36721']",1.423264168,2.119569749,0.833465368,2.221448018,2.589709017,3.941240783,0.062561111,0.405632222,0.211128889,-0.741178889,0.032823333,-0.238818889,1.429854357,2.092048773,0.810798053,2.105887049,2.604008121,3.956037911,0.0738,-0.4286,0.3564,-0.68415,0.4835,-0.73085,4,1,0.913405263,1.83400672,7,3.741657387,3.2754,2.761394436,10,1,1.190075,0.664834615,5,1.732050808,0.838372222,2.194194,6,2.645751311,2.254461538,2.572643426,7,4.69041576,2.309184615,4.745328538
"['44076.58777', '44079.27197']",1.475766138,2.11159634,0.864861727,2.408884104,2.682260931,4.149293066,0.12732,0.490263333,0.180495556,-0.856348889,0.121384444,-0.319577778,1.478500523,2.065400598,0.850555962,2.264144129,2.694524319,4.160144322,0.442,-0.23615,0.29575,-0.8237,0.80875,-0.54685,4,1.414213562,0.997584211,1.971470131,7,3.741657387,2.923283333,2.945498071,7,3.741657387,0.862966667,0.836786608,5,2.449489743,0.9647375,2.181938829,5,2.449489743,1.953966667,2.966810745,6,4.69041576,2.717125,5.114964802
"['44077.49257', '44080.17676']",1.453568548,2.123118676,0.849434364,2.87366973,2.68238704,4.02049831,0.094058889,0.565547778,0.184357778,-0.964863333,-0.05596,-0.277381111,1.458648368,2.057873278,0.833832261,2.722010744,2.696827482,4.033388703,0.58805,-0.29115,0.2774,-0.9151,0.62605,-0.40735,4,0,0.659385,1.786099745,7,3.31662479,3.068554545,2.562655953,5,2.645751311,0.706875,0.777382804,6,2.828427125,2.079384615,1.895221743,4,1.414213562,1.76076875,2.88190002,7,5.196152423,2.173533333,4.638466093
"['44078.39736', '44081.08159']",1.374298517,1.886287205,0.804040316,3.043525149,2.800246307,3.772549008,-0.020845556,0.421846667,0.253507778,-0.847618889,0.010056667,-0.618312222,1.38183874,1.84881144,0.767304616,2.939488757,2.815915924,3.742383188,0.37165,-0.27745,0.26755,-0.69255,0.638,-0.54685,4,1,0.532042857,1.680305281,8,3.16227766,3.33944,2.205434056,4,1.414213562,0.57297,0.745053571,5,2.645751311,1.73311875,2.394021184,4,1.732050808,1.516958824,3.177884697,9,5.744562647,2.40291,4.174030194
"['44079.30213', '44081.98637']",1.310147442,1.826217931,0.778325821,2.941639232,2.87461589,3.469086787,0.04292,0.374116667,0.266666667,-0.8639,0.140861111,-0.522103333,1.31678011,1.797500695,0.735314635,2.827677481,2.887247668,3.448786486,0.47555,-0.2849,0.2838,-0.4404,1.05765,-0.2819,4,1.414213562,0.548275,1.560065178,8,3.16227766,3.32531,1.863796117,4,1.414213562,0.583944444,0.732553451,5,2.449489743,1.4893125,2.476981514,5,2.449489743,1.4726,3.13189487,7,4.123105626,1.671963636,3.537247399
"['44080.20695', '44082.89121']",1.287850119,1.818849367,0.767058559,2.555498897,2.811400669,3.492715395,0.020447778,0.388075556,0.199094444,-0.818452222,-0.072824444,-0.458512222,1.294901773,1.786921697,0.744920033,2.434452968,2.826202297,3.481886456,0.2488,-0.25135,0.20275,-0.5532,0.7714,-0.18975,5,1.414213562,0.802505556,1.492669417,8,3.31662479,3.25232,2.107478142,6,2.449489743,0.619066667,0.789727529,4,1.414213562,0.62979,2.49816148,5,3.31662479,1.938986667,2.762971369,8,3.464101615,1.797354545,3.915054252
"['44081.11174', '44083.79598']",1.245712373,1.879393175,0.777031966,2.49042286,2.812247594,3.379973655,0.02791,0.346678889,0.181847778,-0.876297778,0.009353333,-0.509024444,1.252376758,1.857489912,0.759685813,2.344220099,2.827986965,3.360143861,0.16125,-0.2652,0.22895,-0.64885,0.85355,-0.42975,5,1.732050808,0.867582353,1.489427186,7,3.605551275,2.756058333,2.571883215,7,2.828427125,0.808575,0.823437768,4,1.414213562,0.54069,2.270565655,5,2.828427125,2.02149375,2.774730683,7,4.472135955,1.895790909,3.542952311
"['44082.01653', '44084.70082']",1.255635072,1.901902041,0.808502778,2.445432402,2.720208292,3.348192198,0.066838889,0.316538889,0.197578889,-0.832536667,-0.038944444,-0.3388,1.260879306,1.885882219,0.788381497,2.312234218,2.735167319,3.349667936,0.449,-0.2927,0.22895,-0.7496,0.654,-0.24605,5,1.732050808,0.938713333,1.467012096,7,3.872983346,3.103109091,2.615813587,6,3,0.668372727,0.805319696,4,1.414213562,0.49975,2.241404427,5,3,1.911288235,2.520353343,7,4.582575695,2.066681818,3.530599511
"['44082.92136', '44085.60563']",1.260704363,1.809279773,0.782231788,2.405335794,2.710830458,3.319380916,0.044552222,0.354735556,0.144366667,-0.864415556,-0.02204,-0.430422222,1.266975311,1.784102829,0.773101409,2.257218987,2.725927203,3.309795427,0.2891,-0.27845,0.18735,-0.5204,0.27145,-0.17335,5,1.732050808,0.91883125,1.442811824,8,3.741657387,3.4026,2.288428146,7,3.16227766,0.785258333,0.719416807,4,1.732050808,0.424875,1.954579244,4,2.645751311,2.133041176,2.293243348,7,2.645751311,2.04102,3.869135211
"['44083.82614', '44086.51043']",1.315168812,1.816347051,0.721051809,2.375877865,2.675547456,3.414681955,0.012205556,0.394103333,0.151382222,-0.847155556,-0.018554444,-0.453774444,1.322479806,1.783009467,0.708931163,2.232147851,2.690471937,3.403357141,0.4839,-0.3635,0.13445,-0.49885,0.2758,-0.0334,5,1.732050808,0.7461,1.502129975,11,0,4.2875,0.761985886,6,3.31662479,0.662514286,0.667690456,4,1.414213562,0.482357143,2.058376592,5,2.645751311,1.41890625,2.881707649,6,2.828427125,1.671621429,3.376613215
"['44084.73097', '44087.41525']",1.311511651,1.712747261,0.716761124,2.367329981,2.730059051,3.340093937,0.02731,0.357273333,0.180094444,-0.854206667,0.005904444,-0.49698,1.318573147,1.684454051,0.697653571,2.220214583,2.745347199,3.321417484,0.4465,-0.3184,0.09485,-0.7279,0.2311,-0.0421,4,1.414213562,0.6578,1.564179551,9,2.645751311,3.415033333,1.409931883,5,2.828427125,0.704233333,0.610455142,4,1,0.59135,1.995368638,6,3.16227766,1.66418,3.120963247,6,3.31662479,1.431821429,3.412281487
"['44085.63578', '44088.32007']",1.319994066,1.832618483,0.716143891,2.502359066,2.725232858,3.220448945,0.007785556,0.342495556,0.194355556,-0.788533333,0.002932222,-0.46204,1.327365959,1.810415735,0.693127735,2.388176511,2.740498802,3.20498723,0.41055,-0.4099,0.10735,-0.7954,0.4046,-0.34075,4,1,0.670838095,1.664451676,8,3.16227766,3.11653,2.034926699,5,2.236067977,0.65483125,0.713768499,3,1,0.681190909,2.138952712,5,2.449489743,1.5744,3.491230625,6,3.464101615,1.335392857,3.026467678
