transition,bike,-0.60767    -0.42397     -1.0829   -0.059553
transition,bike,-0.39917    -0.42586    -0.87832   -0.014825
transition,bike,-0.38951     -0.4307    -0.87005   -0.021857
transition,bike,-0.91155    -0.49152   -0.093271    -0.08969
swim,bike,-0.97712    -0.33894   -0.079279    -0.11458
transition,bike,-0.54642    -0.29806    -0.44266   -0.013623
transition,bike,-0.89003    -0.37936    -0.41559           0
transition,bike,-0.6352    -0.51279    -0.56419           0
bike,bike,-0.0018237    -0.59035    -0.59999    -0.19382
transition,bike,-0.42346    -0.39937     -1.0123   -0.079514
transition,bike,-0.14786    -0.45468    -0.84142    -0.13629
bike,bike,-0.13776    -0.46452    -0.85795    -0.14313
transition,bike,-0.60502    -0.41918    -0.95243    -0.02656
bike,bike,-0.059014    -0.58356       -0.49     -0.1169
transition,bike,-0.49287    -0.42107    -0.97051   -0.053415
transition,bike,-0.51317    -0.42072     -1.0522   -0.042484
transition,bike,-0.51362    -0.42284     -1.0157   -0.039542
transition,bike,-0.094978    -0.57114    -0.44249   -0.081288
transition,bike,-0.19823    -0.47468    -0.66143   -0.043137
transition,bike,-0.32792    -0.48651    -0.61863           0
transition,bike,-0.33238    -0.48376    -0.62088           0
bike,bike,-0.0019265    -0.58182    -0.75604    -0.17881
transition,bike,-0.51627    -0.38799     -1.0653   -0.022467
bike,bike,-0.04151    -0.56554    -0.63467    -0.13082
bike,bike,-0.038612    -0.56549    -0.66131    -0.13455
bike,bike,0    -0.67652    -0.66134    -0.38838
bike,bike,0    -0.65952    -0.68998    -0.43141
bike,bike,0    -0.66974    -0.68011    -0.41794
bike,bike,0    -0.68589    -0.67944    -0.39197
bike,bike,0    -0.71184    -0.73623    -0.36537
bike,bike,0    -0.73059    -0.76785    -0.35116
bike,bike,0    -0.72357    -0.82069    -0.40251
bike,bike,0     -0.7014    -0.79355    -0.42546
bike,bike,0    -0.69254    -0.75643    -0.42477
bike,bike,0      -0.692    -0.72562    -0.41106
bike,bike,0     -0.6406    -0.75335    -0.27846
bike,bike,0    -0.62902    -0.72689    -0.27588
bike,bike,0    -0.67019    -0.83123    -0.48081
bike,bike,0    -0.68174      -0.843    -0.45355
bike,bike,0    -0.62271     -1.1059    -0.51726
bike,bike,0    -0.59379    -0.50227    -0.24629
bike,bike,-0.0011629    -0.59835    -0.62033    -0.16883
transition,bike,-0.44404    -0.41356    -0.70714   -0.014476
transition,bike,-0.30683    -0.48176    -0.63134   -0.039773
transition,bike,-0.23233    -0.36004    -0.51323    -0.15311
bike,bike,0    -0.21915     -1.9511     -1.5575
bike,bike,-0.0299    -0.13677    -0.85307     -2.0508
transition,bike,-0.68459    -0.43238    -0.66299           0
transition,bike,-0.69129    -0.42404     -0.7384           0
bike,bike,-0.061319    -0.52044    -0.76494    -0.14711
transition,bike,-0.12979    -0.56684    -0.47504   -0.053944
transition,bike,-0.79634     -0.3892    -0.52444           0
transition,bike,-0.83268    -0.37205    -0.50143  -0.0057206
transition,bike,-0.83841    -0.43796    -0.62613           0
bike,bike,-0.02032    -0.58553    -0.53812    -0.15139
bike,bike,0    -0.65235    -0.44441    -0.30236
bike,bike,-0.002859    -0.58092    -0.57527    -0.17456
transition,bike,-0.16664    -0.45214    -0.81622    -0.12225
transition,bike,-0.17485    -0.46024    -0.84881    -0.11439
transition,bike,-0.54696    -0.42836      -1.201   -0.079236
bike,bike,-0.065839    -0.51489    -0.84324    -0.16573
bike,bike,-0.064677    -0.52457    -0.88502     -0.1716
bike,bike,0    -0.66035    -0.64285    -0.39962
bike,bike,0    -0.66523    -0.67814    -0.41745
transition,bike,-0.11319    -0.50777    -0.70491    -0.11086
transition,bike,-0.43595    -0.48651    -0.50078           0
transition,bike,-0.45267    -0.48241    -0.46255           0
transition,bike,-0.45795    -0.48569    -0.46323           0
bike,bike,0    -0.63854    -0.55041    -0.43902
bike,bike,0    -0.72595    -0.86276    -0.61303
bike,bike,0    -0.98177    -0.29609     -1.7393
run,bike,-2.58694    -0.205588     -11.4269    -0.243489
transition,bike,-1.2234    -0.23115     -4.2959    -0.14687
transition,bike,-1.3785     -0.2826      -4.162   -0.080833
transition,bike,-0.14856    -0.52648    -0.63436   -0.064421
bike,bike,-0.042365    -0.62651    -0.42645    -0.13395
bike,bike,0    -0.68467    -0.58721    -0.34099
bike,bike,0    -0.69977    -0.22926    -0.56105
bike,bike,0     -1.1957    -0.19935     -1.9353
bike,bike,0    -0.40786     -1.5867    -0.63258
bike,bike,0     -0.6696    -0.32678    -0.41821
bike,bike,0    -0.23729     -3.4945     -3.0235
bike,bike,0    -0.69251    -0.42668    -0.24602
bike,bike,0    -0.70129    -0.49021    -0.24768
bike,bike,0    -0.72762     -0.1951    -0.46927
bike,bike,0    -0.66162    -0.64618    -0.22553
bike,bike,0    -0.65957    -0.61444     -0.2036
bike,bike,0    -0.59847    -0.74899    -0.30094
bike,bike,0    -0.66526    -0.42158    -0.29259
bike,bike,-0.036139    -0.57786    -0.56324    -0.13647
transition,bike,-0.76985    -0.45648    -0.50067           0
transition,bike,-0.77505    -0.43789    -0.50083           0
transition,bike,-0.70591    -0.38617    -0.52941           0
transition,bike,-0.62598    -0.38826    -0.58978           0
transition,bike,-0.68545    -0.34434    -0.51282   -0.016276
transition,bike,-0.74724    -0.35602    -0.59277  -0.0051764
transition,bike,-0.53257    -0.27613     -1.2237   -0.036581
transition,bike,-0.80864    -0.30059     -1.1527   -0.028769
transition,bike,-0.73409    -0.29217     -1.0887   -0.033061
