time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz,skewAx,skewAy,skewAz,skewGx,skewGy,skewGz,kurtAx,kurtAy,kurtAz,kurtGx,kurtGy,kurtGz
"['47616.01138', '47618.71028']",0.274007128,0.199411286,0.301138376,0.895248529,0.420985574,0.584763404,-0.055761111,0.027297778,-0.047212222,0.07437,0.036581111,0.12344,0.269776321,0.19864067,0.299080604,0.897152254,0.421742784,0.574788407,-0.0495,0.02285,-0.0263,-0.043,0.0514,0.0574,4,1.732050808,0.128742857,0.265452522,4,1,0.195375,0.202110868,4,2,0.128410526,0.238295985,6,3.464101615,0.463006667,1.04435976,6,2.828427125,0.264015385,0.368464561,5,3.16227766,0.304314286,0.650779997,-0.452178708,0.012864083,-0.632086109,0.720530304,-0.289541299,0.639058076,3.856070854,0.230599697,3.432722091,4.403715654,0.35070184,0.089477692
"['47616.92103', '47619.61501']",0.264016819,0.22362193,0.286860212,0.908294813,0.431469892,0.551120319,-0.059676667,0.036635556,-0.069714444,0.074658889,0.06032,0.126183333,0.258624752,0.221836419,0.279818982,0.910292561,0.429626162,0.539486059,-0.04635,0.02885,-0.03415,0.0206,0.0577,-0.0146,4,1.732050808,0.11975,0.206253629,4,1,0.246219048,0.204633093,4,1.732050808,0.1084,0.19648302,5,3,0.41876,1.085680938,6,3.464101615,0.2756,0.389888296,5,2.828427125,0.2395,0.623296237,-0.566742769,-0.051179126,-0.90355001,0.621839771,-0.103533043,0.949160312,4.778528548,0.149032008,4.193043922,4.12224737,0.104394294,0.415007792
"['47617.82573', '47620.52972']",0.171934681,0.212121835,0.20222666,0.578587014,0.388311677,0.339146236,-0.036533333,0.011911111,-0.058688889,0.017642222,0.032653333,-0.18005,0.168949713,0.212973645,0.194607391,0.581557881,0.38910405,0.289016057,-0.04045,0.01625,-0.0264,0.0622,0.0561,-0.15525,4,1.732050808,0.13655,0.077999733,3,1,0.237604348,0.144835523,3,0,0.084104348,0.128971545,5,2,0.269394118,0.460599903,5,2.449489743,0.240841176,0.353899785,4,1.414213562,-0.089973684,0.236878888,-0.74058067,-0.029889313,-0.907273864,-0.919435674,0.017741734,0.16771672,0.9470494,0.244127195,1.941798867,1.070208535,0.311241626,-0.035334876
"['47618.74043', '47621.43945']",0.176730021,0.226499176,0.203829251,0.503731047,0.398092121,0.441749207,-0.037362222,-0.012151111,-0.084358889,-0.155407778,-0.056891111,-0.013585556,0.173703248,0.227440089,0.18659259,0.481843431,0.396213347,0.444013887,-0.0416,0.0083,-0.0575,-0.0682,-0.10105,-0.0506,4,1,0.115714286,0.115164644,4,1.414213562,0.21338,0.167624193,4,1,0.052786364,0.135294808,4,1,0.111357895,0.34549219,4,1.732050808,0.222694118,0.346632095,5,1.732050808,0.103717647,0.450591136,-0.629293169,-0.15723091,-0.792074995,-1.276222196,0.189410254,0.749372109,0.453889003,-0.031662199,2.222815296,1.846062674,0.360407121,0.283867621
"['47619.64516', '47622.34915']",0.220902903,0.260576584,0.278582325,0.675183894,0.434979896,0.557009752,-0.038167778,-0.026336667,-0.10621,-0.159797778,-0.090671111,0.022892222,0.218799538,0.260694583,0.258984172,0.659676602,0.427808149,0.559657027,-0.0405,0.0217,-0.09175,-0.16465,-0.1268,0.0072,4,1,0.19114,0.155385346,4,1.732050808,0.210021053,0.165092266,4,1,0.053742857,0.183009985,4,1.414213562,0.183666667,0.501955205,5,2.645751311,0.259973333,0.327593022,6,2.645751311,0.1961,0.622033821,-0.15595737,-0.293641967,-1.01212426,0.055882057,-0.067262869,-0.01309341,-0.299596932,-0.498848709,2.733920426,0.561555899,-0.025807949,-0.693060087
"['47620.55987', '47623.25381']",0.401243114,0.296265975,0.322490492,0.796502036,0.524560459,0.669562202,-0.028121111,-0.013958889,-0.074635556,0.006935556,-0.179515556,0.230641111,0.402498818,0.297594872,0.315492634,0.800933902,0.495648544,0.632105806,-0.03515,0.02955,-0.07635,-0.09485,-0.1908,0.31665,4,1,0.315636842,0.358284392,4,1.414213562,0.289366667,0.282161839,4,1,0.18396,0.268518286,5,2.236067977,0.432947059,0.805033231,6,2.645751311,0.256714286,0.464367505,5,2.645751311,0.62644,0.709433688,-0.40945018,0.099107394,-0.240710251,0.322899284,0.029029589,0.024311368,5.047415236,0.50131711,1.292169758,-0.19120946,1.226149886,1.346697251
"['47621.46963', '47624.15853']",0.407551083,0.288048734,0.333005942,0.819351157,0.547830021,0.58564216,-0.017884444,-0.008868889,-0.047216667,0.100507778,-0.085874444,0.118235556,0.409439502,0.289525133,0.331488284,0.817718844,0.544088745,0.576796055,-0.01735,0.02865,-0.10825,0.1402,-0.10305,0.08115,4,1,0.352715789,0.333898594,4,1.414213562,0.299166667,0.263954994,4,1,0.268795,0.255100464,5,2.449489743,0.589288235,0.800737604,6,2.645751311,0.38795,0.494971828,5,2.236067977,0.4785625,0.664414242,-0.431878851,0.099245556,-0.278548935,0.048659517,-0.045016258,0.427934213,4.598497861,0.800657538,0.785741687,-0.426561053,0.511880116,3.041355449
"['47622.3793', '47625.06319']",0.407590683,0.238959673,0.292379621,0.669839746,0.480052624,0.464660361,-0.019178889,0.012616667,-0.015825556,0.181172222,-0.102675556,0.087236667,0.409420118,0.239963224,0.293586606,0.648486328,0.471570918,0.45895474,-0.01805,0.029,-0.0411,0.1939,-0.10305,0.0129,4,1,0.3534,0.351145016,4,1,0.241563158,0.258655791,4,1.414213562,0.333894737,0.217886962,4,1,0.59091,0.642290872,4,2,0.274161111,0.426836062,4,1.732050808,0.332789474,0.564472729,-0.362820705,0.291684381,0.249440427,0.150684497,-0.111499963,2.028470864,4.681452272,2.866051436,0.327272241,0.595439688,2.13939193,9.304552904
"['47623.28399', '47625.96788']",0.284479236,0.17879279,0.256447689,0.459403732,0.388219382,0.221854837,-0.009272222,-0.008561111,0.013596667,-0.002877778,0.003931111,-0.058831111,0.285920974,0.179588206,0.257521665,0.461968379,0.390374282,0.215110691,-0.00415,-0.01325,0.01015,-0.04935,-0.01565,-0.08065,4,1,0.31344,0.313041136,4,1,0.17682,0.13526771,4,1.414213562,0.283514286,0.198438455,4,1,0.340185714,0.429635511,4,1.732050808,0.26722,0.346248971,4,1.414213562,0.05467,0.217817365,1.499154471,-0.088606252,0.261779412,0.052649655,0.135278452,0.34433173,4.954381815,0.862276294,-0.351525893,0.3382191,0.366019137,-0.337018235
"['47624.18868', '47626.87259']",0.364159787,0.216542636,0.294492217,0.658035837,0.401739667,0.472356467,0.02271,0.02703,-0.0125,0.038364444,-0.068473333,-0.000166667,0.365487124,0.216052644,0.295875153,0.660596767,0.39807902,0.475002713,-0.00115,0.01005,0.02505,0.0542,-0.01135,-0.0991,4,1,0.453578947,0.403217531,4,1,0.198690909,0.180631514,4,1.414213562,0.261665,0.214450618,4,1,0.432213636,0.452881501,4,1.732050808,0.196125,0.335067082,4,1.732050808,0.179161111,0.47963167,1.134341325,0.136702985,-0.467399407,-0.713616381,-0.717996494,1.055194639,2.774119477,-0.048423693,0.781193537,2.247096416,0.99634296,1.716109088
"['47625.09335', '47627.77725']",0.368875417,0.230490371,0.304666561,0.758692017,0.515766286,0.54909835,0.030683333,0.041893333,-0.016703333,-0.024803333,-0.070071111,-0.038957778,0.369656454,0.22792095,0.305912598,0.762534607,0.513846926,0.550783059,0.0093,0.0503,0.0314,-0.0364,-0.072,-0.1763,4,1.414213562,0.43038,0.392976822,4,1,0.22662381,0.198519827,4,1,0.229581818,0.195203012,3,1,0.471343478,0.532055605,4,1.732050808,0.238557895,0.489011635,5,2.645751311,0.1328,0.598180425,0.921610583,-0.052856076,-0.635805106,-0.462592367,-0.146987267,0.79540585,2.428579123,-0.069419443,0.509265307,0.559441207,-0.309408665,0.363046196
"['47625.99803', '47628.68193']",0.335447741,0.261101722,0.322000089,0.81548987,0.58871324,0.573222585,0.026395556,0.125032222,-0.063167778,0.206752222,-0.10447,-0.070074444,0.336281074,0.230502498,0.317512276,0.793264852,0.582615536,0.572110555,0.02625,0.1304,0.008,0.31225,-0.11705,-0.1869,4,1,0.331245,0.310915948,3,1,0.295382609,0.197311532,4,1,0.224068182,0.179076202,4,1,0.749922727,0.538649678,5,1.732050808,0.267835294,0.598151681,5,2.828427125,0.1591375,0.628650052,0.589582693,-0.183616374,-0.59678115,-0.765597328,-0.04450815,0.75637502,2.097876523,0.678345746,0.029813164,1.009745907,-0.429072601,0.210116513
"['47626.90274', '47629.58662']",0.307934582,0.28776931,0.328963678,0.795113601,0.952495048,0.79052627,0.005054444,0.072767778,-0.049658889,-0.022973333,-0.090703333,-0.153027778,0.309618002,0.279976772,0.327015765,0.799234239,0.953478404,0.779918503,0.02275,0.09345,-0.0436,0.0159,-0.1395,-0.24545,4,1,0.326255,0.212780526,4,1,0.288527273,0.193796514,4,0,0.27462381,0.198553222,4,1,0.527538095,0.657039216,5,1.414213562,0.293970588,0.859711826,5,1.732050808,-0.00895,0.74344736,-0.19169074,-1.04217175,-0.279308391,-0.433070584,-0.459863137,0.74013967,0.665536895,2.394354613,-0.223896339,0.14997315,0.581813504,0.695508349
"['47627.8074', '47630.4913']",0.371607672,0.296201726,0.321879938,0.857455726,0.949701459,0.81690696,-0.008936667,0.03732,-0.053071111,0.091006667,-0.093078889,-0.015615556,0.373581449,0.295487432,0.319253231,0.857389098,0.950424071,0.821333406,0.0023,0.0737,-0.0436,0.188,-0.09495,-0.1143,4,1,0.373571429,0.298300656,4,1.414213562,0.2725,0.219506057,4,1,0.293668421,0.186926114,4,0,0.603080952,0.773194586,5,3,0.2948375,0.856588175,5,1.732050808,0.23,0.811575974,-0.136537603,-0.69164617,-0.281115313,-0.509768824,-0.474910585,0.401247998,1.265216356,1.077386509,-0.103434828,0.434181153,0.631390486,-0.003003971
"['47628.71208', '47631.396']",0.372561619,0.291584706,0.291071059,0.827370482,0.953387913,0.852597999,-0.016291111,-0.067696667,-0.026084444,-0.147237778,-0.08261,0.036611111,0.374290466,0.285206256,0.291524021,0.818725137,0.9551232,0.856583675,-0.0241,-0.03525,-0.00515,-0.08535,-0.01795,-0.05995,4,1,0.376014286,0.309620686,4,1.414213562,0.190742105,0.198899981,4,1.414213562,0.297421053,0.163930729,3,0,0.328634783,0.734429064,6,3,0.298593333,0.867135229,5,2,0.3013125,0.83722842,-0.088413479,-0.712593432,-0.343260674,-0.190532288,-0.477642711,0.273534355,1.200677193,0.481477542,0.356364071,0.222747785,0.546471304,-0.411023326
"['47629.6168', '47632.30067']",0.350115092,0.286733629,0.265550082,0.811633539,0.624760816,0.541113132,-0.041434444,-0.049221111,-0.021746667,0.049565556,-0.086293333,0.100201111,0.349602323,0.284059874,0.266140825,0.814657184,0.622239147,0.534733834,-0.027,-0.03195,-0.00165,0.0789,-0.1162,0.04905,3,1,0.283227273,0.293455541,4,1.414213562,0.17549,0.18141488,4,1.414213562,0.271105,0.151667606,4,1,0.617468182,0.859472751,5,2,0.275141176,0.567264817,5,1.732050808,0.2910625,0.488176592,-0.415087121,-1.839428424,-0.465049209,0.110275201,-0.215056971,0.494679051,2.736350391,7.337654086,0.217537691,0.648894719,-0.292099538,-0.099638363
"['47630.52145', '47633.20536']",0.328108548,0.28830156,0.356455028,0.993215125,0.694306404,0.500785596,-0.056164444,-0.022142222,-0.016708889,-0.035867778,-0.000663333,0.033565556,0.325076822,0.289060393,0.358057964,0.998127915,0.698195787,0.502458685,-0.05025,0.0091,-0.01325,-0.13155,0.04805,-0.0044,3,1,0.232277273,0.212050573,4,1,0.226665,0.204540284,4,2.236067977,0.336038889,0.296203265,4,1.414213562,0.782415,1.051448759,4,1.414213562,0.461621053,0.609447791,5,2,0.35759375,0.455607326,-1.134738835,-1.688740861,-0.035439485,0.235643586,-0.314842805,-0.151126358,3.285898674,7.977578543,0.406778376,1.465890308,0.37366566,0.627309886
