time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz,skewAx,skewAy,skewAz,skewGx,skewGy,skewGz,kurtAx,kurtAy,kurtAz,kurtGx,kurtGy,kurtGz
"['44030.44073', '44033.12478']",1.657731518,2.07932469,1.143028085,3.427027588,3.475658959,4.19478702,0.346966667,0.596206667,0.418202222,-1.246625556,0.158018889,-0.48132,1.630095857,2.003176101,1.069735919,3.210131177,3.491516477,4.190426794,0.6926,-0.18115,0.47875,-0.64235,0.76185,-0.3484,5,1,1.586888235,2.11253401,6,2.449489743,3.273838462,3.194729941,8,2.645751311,1.213718182,1.02011593,4,1,0.909773684,2.273864801,5,1.732050808,1.388088235,4.042559565,6,4.795831523,3.291966667,3.482072694,0.322985411,1.702413327,-0.259451668,-1.097774882,-0.048730509,0.009555361,-0.28962487,2.25527531,0.172324445,0.996947343,-0.910026298,-0.49339712
"['44031.34546', '44034.02949']",1.730131916,2.129620989,1.057995366,3.631776066,3.14253812,4.542620093,0.35644,0.742622222,0.358202222,-1.396385556,0.067646667,-0.348536667,1.702501885,2.007127192,1.001089758,3.371378922,3.159411264,4.554603493,0.60525,-0.0496,0.33045,-0.786,0.3679,-0.06065,5,2.236067977,1.7099875,2.016985456,7,2.645751311,3.5934,2.883303948,7,2.645751311,1.081958333,1.03104926,4,1,1.033242105,2.054329767,4,1.414213562,1.349685,3.525623175,6,4.582575695,2.998023077,4.346255267,0.390369324,1.498558525,-0.135239886,-1.299571991,0.050919642,-0.056135839,-0.290795446,1.781640642,0.128227942,1.729883009,-0.970150676,-0.648954174
"['44032.25018', '44034.93424']",1.696621728,2.056258894,0.949005105,3.651800344,2.954712911,4.795478781,0.262297778,0.673732222,0.376314444,-1.450518889,0.171623333,-0.649941111,1.685614164,1.953635901,0.876085725,3.370139302,2.966249559,4.777848461,0.4825,-0.12825,0.29095,-0.7281,0.2989,-0.85365,6,3.31662479,1.882286667,2.031244866,8,2.645751311,3.84907,2.749405189,6,2.236067977,0.968269231,0.956963097,4,1.414213562,0.746468421,2.117748053,4,2,1.713655556,3.240777385,7,4,2.663154545,5.734878867,0.336924012,1.332198961,0.25181128,-1.258868262,0.048662681,0.170077996,-0.387818654,1.322851192,-0.473983367,1.636970963,-0.887093638,-0.778111845
"['44033.15493', '44035.83897']",1.660079539,2.020837634,1.003011953,3.611235735,3.024132321,4.722507598,0.35881,0.652794444,0.448078889,-1.327105556,0.131048889,-0.635992222,1.629919524,1.92321119,0.902389125,3.377359008,3.038217661,4.705702101,0.5605,-0.16705,0.43515,-0.46145,0.7101,-0.57515,6,3.464101615,2.053176923,1.949719916,7,2.449489743,3.334081818,2.734168944,6,2.449489743,0.986264286,0.859269716,5,1.732050808,0.856841176,2.010462993,4,2.236067977,1.647577778,3.270621523,6,2.449489743,1.610714286,5.16411695,0.196760262,1.191574222,0.176771126,-1.300914522,-0.154393777,0.035718671,-0.315098769,0.542908087,-0.449767242,1.625676769,-0.927192497,-0.684935594
"['44034.05967', '44036.74371']",1.646839594,2.165423337,0.979680233,3.375784812,2.926178508,4.636675195,0.306388889,0.660688889,0.403392222,-1.1827,-0.156393333,-0.569988889,1.627152282,2.073723671,0.897777072,3.179539474,2.938366054,4.627286265,0.5213,-0.1973,0.3981,-0.4182,0.18165,-0.7807,5,1.414213562,1.849386667,1.954671318,7,2.645751311,3.536618182,2.942794642,5,2.645751311,1.070293333,0.757368459,5,2,0.837575,2.011694529,4,2.449489743,1.247677778,3.305809395,6,3.464101615,1.504806667,5.278723644,0.265032668,1.271570775,-0.09561451,-1.255136214,-0.080505185,0.35532044,-0.406228041,0.814565968,0.463806611,1.684818857,-1.106967179,-0.193834219
"['44034.96439', '44037.64844']",1.58368093,2.32965017,0.940814187,3.158898321,2.804694881,4.515916948,0.333338889,0.658187778,0.427267778,-1.036721111,0.015924444,-0.661706667,1.556875806,2.247258727,0.84289244,3.000648459,2.820362119,4.492201126,0.585,-0.2726,0.39405,-0.5343,0.4067,-1.2101,5,1,1.66518125,2.00459019,8,2.645751311,3.762245455,2.992936759,5,1.732050808,0.93904375,0.738407545,5,2,0.873576471,1.87739866,4,1,1.12497619,3.131022896,4,2.645751311,1.098694444,4.838067915,0.33588963,1.261032379,-0.341416352,-1.319185529,-0.28881255,0.454812026,-0.276017526,0.709854432,1.242442786,2.377103985,-1.034772945,0.071381383
"['44035.86912', '44038.55321']",1.565575361,2.36552153,0.908767114,3.006586912,2.65781774,4.551716794,0.341732222,0.530775556,0.433103333,-1.061844444,0.065848889,-0.112758889,1.536383017,2.318119268,0.803399555,2.828595179,2.671887174,4.575812089,0.67225,-0.47815,0.39405,-0.8233,0.3075,-1.1277,5,1,1.6822125,1.96222356,7,2.645751311,3.4196,3.263037001,6,1.732050808,0.87934,0.709963357,4,1.414213562,0.82133125,1.878531916,4,1.414213562,1.1201,3.047127465,4,2.645751311,1.348976471,5.098648409,0.373608997,1.404220092,-0.726699468,-1.463149895,-0.242562015,0.544114665,-0.219498304,0.991608474,1.704041323,3.439604947,-1.157840948,-0.276211384
"['44036.77386', '44039.45792']",1.500068383,2.285646614,0.826461637,2.678050178,2.56556708,4.46085115,0.264226667,0.526794444,0.374703333,-0.779164444,-0.040887778,-0.17953,1.484886588,2.236570723,0.740765338,2.576551561,2.579612454,4.482207743,0.58735,-0.34445,0.3663,-0.5901,0.06915,-0.94055,5,1,1.5300375,1.832449088,7,3,3.766118182,2.985327015,6,2,0.830115385,0.710628322,4,1.414213562,0.732052632,1.769003617,4,1.414213562,1.041677778,2.702820452,5,3,1.536625,5.183565196,0.333226019,1.382256393,-0.576100893,-1.432054771,-0.220835591,0.556158265,-0.475661844,0.933328604,1.010011427,3.751341403,-1.217017771,-0.174184214
"['44037.67859', '44040.36265']",1.588536491,2.259471265,0.970768452,2.852362417,2.733130175,4.603174788,0.350312222,0.572523333,0.317587778,-0.904283333,-0.060341111,-0.314744444,1.558109117,2.197977795,0.922488361,2.720380572,2.74777204,4.618129717,0.7652,-0.41325,0.2987,-0.7918,-0.11595,-0.77095,5,1,1.63910625,1.839012222,8,3,3.937945455,3.141113499,7,2.449489743,0.853575,0.919507104,4,1,0.507810526,1.760550842,5,2,1.371,2.637087261,5,3.31662479,2.470553846,4.853728373,0.130727072,1.459307642,-0.940757438,-1.495537115,0.191310328,0.399331168,-0.605459939,1.120738087,2.900805083,3.412596837,-1.019849295,-0.392535462
"['44038.58336', '44041.26739']",1.568698931,2.240882623,0.997098658,3.049190843,2.842422558,4.557729274,0.353336667,0.644573333,0.285157778,-1.122737778,-0.084835556,-0.119368889,1.536950352,2.158201533,0.960805899,2.850846949,2.857073232,4.581690783,0.7652,-0.3091,0.31195,-0.92985,-0.16715,-0.33505,5,1,1.350382353,1.762182704,9,2.645751311,4.05411,2.860858107,8,3,1.001145455,0.905463087,4,1.732050808,0.870338889,1.469498144,6,2.449489743,1.53802,2.915825255,7,4,2.818638462,5.256086953,0.023151031,1.53319882,-0.847962745,-1.340609639,0.42542863,0.271448467,-0.88486073,1.6407109,2.216146229,2.362469539,-0.921356159,-0.537896751
