8,2.8284,2.8882,5.94,5.2717
7.1,2.4698,2.989,6.1113,5.3035
8.3,4.6679,2.8459,6.0979,5.1555
10.5,4.6599,3.2563,7.3379,6.0554
8.8889,2.3688,3.0692,5.6838,5.0152
8.5,2.5927,3.3826,7.3113,6.0365
7.9,2.4698,2.997,6.3662,5.2364
7.6,2.6331,2.4625,7.3544,5.786
10.167,6.4005,1.703,5.9446,4.3295
10.143,7.1747,2.3129,4.6886,3.5212
12.833,9.0646,1.0898,3.172,2.2418
11,8.2865,1.6928,3.3852,2.2688
9.25,4.496,3.5944,4.7666,4.0174
9.875,4.4219,3.8715,5.485,5.0284
9.3333,3.8079,3.1686,6.233,5.4307
8.75,2.6049,3.5009,6.6307,5.9943
8.5556,2.651,2.8899,6.2865,5.3562
8,2.8723,3.238,7.4868,6.2668
8,2.7839,2.6228,6.6826,5.1315
8.25,2.8158,2.8744,6.7812,5.7769
10.286,3.9461,2.6813,6.0907,5.2564
11,3.4157,2.5375,6.8185,5.3883
8.2222,3.6324,2.7,7.2288,6.0643
7.8,2.974,2.9293,6.3917,5.1654
7.8,2.3944,2.822,6.6287,5.419
11,8.9443,2.1331,5.2321,3.6278
12.6,10.691,1.8802,5.9345,3.6985
14.667,7.6376,1.1307,4.7731,2.5654
16,6.2849,1.6295,3.9314,2.4708
12.833,5.2694,2.2351,4.9055,3.4625
9.625,4.5336,3.2996,6.7612,5.0467
8.1111,2.9345,2.5829,7.295,5.6048
10.125,4.4861,2.8899,8.0963,6.362
9.75,4.7132,2.4802,6.4156,5.2539
7.6667,3.0414,3.0639,7.2821,5.9938
8.5556,4.2164,2.7812,6.6481,5.3159
8.3,3.8601,2.4788,7.0035,5.5658
9.5,3.9279,2.9889,6.6937,5.4476
8.3,2.3594,2.6865,6.2997,5.2447
8.6667,2.7839,3.0115,7.2502,6.0722
8.2,2.7809,2.4823,6.0529,5.1956
8.2,2.8597,2.8727,6.9807,5.8686
8.4444,3.3953,2.5484,6.261,5.0758
8.8889,3.2575,2.1899,7.0293,5.4806
10.5,3.6194,1.908,5.7844,4.2123
12.286,7.1114,2.2894,4.9321,3.6336
16.25,8.0984,1.373,3.1781,2.3705
11,4.2817,1.5459,3.0946,2.2741
10.143,4.1805,2.0044,3.9887,2.8955
9.2222,4.0242,3.5942,6.2404,4.8928
7.8,3.5839,3.1433,6.437,5.1507
7.6364,3.3248,3.3403,7.41,6.3092
7.4,2.7162,2.8391,5.9346,5.1079
8,2.6667,2.8519,7.0119,5.9436
8.8889,2.5221,2.6266,5.8489,5.027
8,2.5386,2.4249,6.196,5.4549
8.6667,2.8284,3.1005,6.259,5.394
7.7,2.0575,2.8772,5.9903,5.1842
8.4444,1.6667,3.2344,7.0075,5.8625
7.9091,1.6404,2.3361,5.9244,5.1691
7.3333,2.1794,2.8416,6.8859,5.848
8.7778,4.1466,2.1905,6.2253,5.1232
9,4.7208,2.3282,6.445,5.1779
13,9.7775,1.6062,5.1071,3.833
10.429,9.289,1.8745,4.1458,2.913
8.5,6.6858,0.88682,2.6485,1.9692
9.875,6.4462,1.747,3.1829,2.6833
9,3.8173,3.5297,5.3208,4.824
9.2222,3.3082,2.7762,5.9369,5.1017
8.3,2.9078,2.8807,7.2234,5.9449
8.4,2.8752,2.7554,6.2582,5.0795
7.3636,3.0421,2.6308,6.5442,5.4301
7.9091,3.7001,2.6775,6.3722,5.6392
7.1667,2.9797,2.5078,6.2353,5.3614
7.5455,3.3871,2.4624,6.9723,5.9769
7.3,3.164,2.1201,5.723,4.7331
7.3636,3.1392,2.3254,6.4784,5.5416
7.5,3.3417,2.5393,5.6431,4.9661
7.2727,2.9695,2.3275,6.018,5.3834
7.9,2.6854,2.8093,6.075,5.4637
8.3,2.406,2.4284,6.6303,5.4809
9.625,3.2486,2.9975,6.2937,5.1439
9.375,2.9246,2.7111,5.6388,4.5307
10.8,2.1679,3.2583,4.7984,3.674
12,6.4187,3.266,4.3038,3.2543
