time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz
"['45894.84056', '45897.5245']",0.35944952,0.281023479,0.269555259,0.82644346,0.229930815,0.484667424,-0.042995556,0.006424444,-0.059042222,0.015542222,0.004394444,0.077105556,0.35886808,0.282523998,0.264483062,0.830926456,0.231176721,0.481175434,-0.04275,0.0065,-0.07955,-0.0069,0.02535,0.03955,4,1,0.349490476,0.228309715,4,1,0.324225,0.16485813,4,1,0.219080952,0.195299474,4,1.414213562,0.82602,0.539474539,4,1.414213562,0.196988889,0.166284211,4,1.414213562,0.32572381,0.504519363
"['45895.74526', '45898.42919']",0.383940209,0.280900661,0.302072545,0.80077922,0.255832564,0.481466162,-0.039082222,0.027393333,-0.051366667,-0.038628889,-0.046654444,0.055844444,0.384085661,0.281127961,0.299340772,0.804327936,0.252951781,0.48089565,-0.04365,0.0065,-0.07955,-0.09005,-0.04965,0.03425,4,1,0.403677273,0.205066844,4,1,0.365515,0.17570924,4,1,0.280854545,0.223644185,4,1.414213562,0.73906,0.536790383,5,2,0.179716667,0.197764709,4,1,0.279504762,0.5006059
"['45896.64995', '45899.33386']",0.452806691,0.392155942,0.384424605,1.067618782,0.300485967,0.603980967,-0.006201111,0.0707,-0.025968889,0.055611111,-0.009462222,0.027863333,0.455300741,0.387891178,0.385695205,1.072142422,0.302019521,0.606717989,-0.00695,0.04785,-0.0877,-0.06735,-0.0283,0.0462,4,1,0.441295455,0.305185328,4,1,0.510419048,0.304249491,4,1,0.327163636,0.269802165,4,1,1.16756,0.950421591,4,1.732050808,0.262942105,0.285631636,4,1,0.396371429,0.616005306
"['45897.55465', '45900.23855']",0.494446179,0.490004766,0.412590919,1.111524633,0.358163597,0.68153269,-0.018232222,0.093683333,0.002168889,0.104283333,0.068861111,-0.049832222,0.496878062,0.48366031,0.414896638,1.112821496,0.353450692,0.683516355,-0.0051,0.0632,0.02215,-0.0268,0.0823,-0.0879,4,1,0.472195238,0.282543636,4,0,0.629390909,0.400920472,4,1,0.437454545,0.338979579,4,1.414213562,1.151721053,1.073567651,4,2,0.412105,0.297151954,4,1,0.373095238,0.68330855
"['45898.45934', '45901.14327']",0.63073034,0.509422736,0.446865037,1.143926974,0.399692483,0.69920099,-0.020683333,0.107326667,0.001535556,0.036636667,0.095502222,-0.137518889,0.633922748,0.500778338,0.449365849,1.149745458,0.39028953,0.689384615,0.0036,0.10505,-0.0151,-0.0588,0.07245,-0.1247,4,1,0.563019048,0.302362576,3,0,0.642772727,0.396064277,4,1,0.493731818,0.323378163,4,1.414213562,1.294036842,0.951822767,4,1.414213562,0.467695238,0.392402656,4,1,0.433757143,0.679336212
"['45899.36405', '45902.04795']",0.566609756,0.443716864,0.391084746,0.818124429,0.35993046,0.633290535,-0.028757778,0.057168889,-0.007303333,0.055915556,0.070158889,-0.036263333,0.569049716,0.442483715,0.393207133,0.820784038,0.355004193,0.635793484,0.0155,0.05245,-0.01055,0.04175,0.05435,-0.08325,4,1,0.49765,0.240541727,3,0,0.496369565,0.289052464,3,1,0.418921739,0.261697276,4,1,0.848504762,0.589322844,4,1.414213562,0.40282,0.376845012,4,1.414213562,0.365005,0.608468564
"['45900.26873', '45902.95264']",0.51735716,0.355385572,0.338745104,0.713432283,0.317645761,0.563272318,-0.003486667,0.017231111,-0.012054444,0.027153333,-0.006552222,0.016892222,0.520243727,0.356956225,0.340427098,0.71690932,0.31935734,0.566173159,0.0155,0.0207,-0.00375,0.0497,-0.03125,-0.011,4,1,0.493094444,0.254869504,4,0,0.401161905,0.214344528,4,1,0.341109091,0.225569943,4,1,0.748085714,0.524157898,4,1.414213562,0.274357895,0.397399297,4,1.414213562,0.373485,0.533162674
"['45901.17345', '45903.85734']",0.360119901,0.32267604,0.327051788,0.674353604,0.255097948,0.550361184,-0.001146667,-0.004421111,-0.016261111,0.038843333,-0.002076667,0.072213333,0.362135559,0.324453305,0.328477255,0.677005619,0.256518579,0.548659654,-0.0037,5.00E-05,-0.01225,0.0263,-0.0094,-0.01905,4,1.414213562,0.420405,0.217871484,4,1,0.334236364,0.194275081,3,1,0.289343478,0.228272847,4,0,0.655127273,0.54198713,4,1.414213562,0.208889474,0.240278815,4,1,0.395933333,0.606393271
"['45902.07813', '45904.76205']",0.40111853,0.379950252,0.385150279,0.717337409,0.294637201,0.592677234,-0.00175,-0.018256667,-0.0028,0.042318889,-0.008968889,0.060553333,0.403361872,0.381637512,0.387297765,0.720099761,0.296150537,0.592878748,-0.0427,0.01715,-0.01475,-0.0642,-0.00865,-0.0012,4,1.414213562,0.456615,0.238629425,4,1,0.317245455,0.170019446,3,0,0.368830435,0.371332521,4,1,0.758833333,0.612596926,4,1,0.205218182,0.260010312,3,0,0.405491304,0.629787896
"['45902.98283', '45905.66675']",0.500458348,0.365146217,0.490321303,0.858714884,0.350686284,0.603158048,-0.02093,-0.040181111,0.016627778,-0.030586667,-0.003565556,0.081958889,0.50282175,0.364961926,0.492784621,0.862977688,0.352632701,0.600911419,-0.05635,-0.01535,-0.0059,-0.1142,0.0165,-0.05285,3,1,0.523952174,0.313726086,4,1.414213562,0.329375,0.167595311,4,1,0.56258,0.413214444,3,0,0.920918182,0.499381211,4,1,0.292722727,0.275720238,3,1,0.570191304,0.548857862
"['45903.88749', '45906.57145']",0.463686391,0.328926118,0.45414327,0.768046102,0.344874312,0.551646185,-0.017712222,-0.046808889,0.024398889,-0.049328889,-0.053805556,0.105884444,0.465943783,0.327402421,0.456027946,0.770754284,0.342559644,0.544421967,-0.03775,-0.0053,0.0736,-0.091,-0.0517,-0.01435,4,1,0.48445,0.316651496,4,1.414213562,0.248542857,0.16333539,4,1,0.51884,0.416266966,4,0,0.722468182,0.536226371,3,0,0.201891667,0.29276312,4,1.732050808,0.493677273,0.570773337
"['45904.7922', '45907.47616']",0.392533883,0.21060049,0.409537307,0.726977587,0.326614881,0.481678762,-0.012876667,-0.014312222,0.027526667,-0.036,-0.075775556,0.085467778,0.394520527,0.211290721,0.410900326,0.730153416,0.319483099,0.476691217,-0.00605,0.01585,0.0736,-0.0201,-0.08145,-0.0377,4,1,0.378445455,0.274889596,4,1.414213562,0.19215,0.127751868,4,1,0.41302381,0.333754549,3,0,0.704786364,0.423496009,3,0,0.17015,0.272579664,4,1.732050808,0.423690476,0.564081838
"['45905.6969', '45908.38085']",0.40107139,0.282523256,0.358672678,0.705955309,0.28182199,0.457362138,0.000484444,0.018278889,0.057957778,-0.043166667,-0.021312222,0.015987778,0.403318012,0.283510785,0.355941997,0.708581891,0.282589314,0.459643322,0.02815,0.03185,0.073,-0.0239,-0.04235,-0.0377,4,1,0.35682,0.237572029,3,0,0.270391304,0.307141427,3,0,0.338963636,0.321143329,4,1,0.712957143,0.524634932,3,0,0.176216667,0.252187937,4,2,0.278055,0.484258133
"['45906.6016', '45909.28555']",0.401298732,0.295718912,0.416721593,0.796220062,0.278108842,0.422416752,0.014431111,0.003853333,0.103936667,-0.155974444,0.018621111,-0.066562222,0.403285905,0.297350367,0.405812612,0.785167644,0.279039291,0.419476459,0.03665,0.00225,0.09355,-0.119,-0.01075,-0.11155,4,1,0.373842105,0.235468548,3,1,0.285808696,0.29884194,4,0,0.418595455,0.353981515,4,1,0.624295238,0.676804928,4,1,0.244781818,0.235890258,4,1.414213562,0.21357619,0.43197218
"['45907.50631', '45910.19026']",0.463456902,0.369641482,0.492261971,0.961050523,0.337545232,0.404766128,0.014177778,0.015654444,0.082294444,-0.161094444,0.063847778,-0.059366667,0.465835195,0.371378827,0.488053374,0.952760636,0.33330861,0.402631924,0.0246,0.001,0.11275,-0.14895,0.02375,-0.06975,5,1,0.465188889,0.289016445,4,1,0.386031818,0.354223423,4,0,0.505828571,0.3967032,4,1,0.703561905,0.91741787,4,1.414213562,0.343852632,0.222375157,4,1.414213562,0.293205263,0.365238414
"['45908.411', '45911.09495']",0.366772605,0.333618876,0.449989913,0.931671489,0.350516184,0.312173476,0.031914444,-0.009987778,0.019753333,-0.109467778,0.016693333,-0.028217778,0.367428432,0.335337527,0.452074686,0.930401455,0.352079911,0.312637264,0.03215,0.01215,0.0755,-0.15075,-0.02265,-0.07175,4,1,0.392531579,0.302155604,3,1,0.317765217,0.239329455,4,1,0.405919048,0.334153775,3,1,0.689413636,0.853830581,4,1.414213562,0.381578947,0.235435593,4,1.414213562,0.267668421,0.300116437
"['45909.3157', '45911.99964']",0.38939622,0.336271619,0.38158595,0.861518971,0.351356309,0.302082213,0.058594444,-0.00644,-0.005911111,0.041326667,-0.017926667,0.030573333,0.387119144,0.33809349,0.38367766,0.865348108,0.352864524,0.302214749,0.10965,0.0237,0.0626,-0.0202,-0.02845,0.01535,4,1,0.47111,0.275964403,4,1,0.337966667,0.246566864,3,0,0.342517391,0.307576012,3,0,0.809656522,0.693317277,4,1.414213562,0.3314,0.247653835,4,1,0.313252632,0.271962907
"['45910.22041', '45912.90434']",0.365105853,0.312383671,0.257355479,0.665179243,0.28829215,0.329255979,0.099587778,-0.10033,0.028943333,-0.043645556,-0.009728889,0.029293333,0.353229248,0.297490825,0.257155384,0.667464296,0.28974212,0.329787572,0.11705,-0.06175,0.0626,0.0104,-0.0127,-0.0192,4,0,0.483313636,0.240604452,4,1.414213562,0.231815,0.144086715,3,1,0.282752174,0.160447711,3,1,0.514463636,0.490213469,4,1,0.250828571,0.22514441,4,1.414213562,0.318742105,0.296816835
